customer_id,age,gender,city_type,employment_type,employment_years,business_vintage_years,education_level,annual_income,monthly_income,dependents,credit_score,cibil_score,loan_type,requested_loan_amount,loan_tenure_months,property_value,property_location,down_payment,property_type,gold_weight,gold_purity,gold_market_value,course_fee,college,course_duration,coapplicant_income,business_turnover,years_in_business,business_type,gst_number,interest_rate,emi_amount,emi_income_ratio,probability_of_default,loan_approval_status,safe_loan_amount
1,42,Male,Rural,Salaried,6,6,Graduate,0,0,3,612,662,business,4128108,180,,,,,,,,,,,,1270187.0,15.0,Retail,OT3W7AK5EIKBOO5,13.0,52230.56312681629,0.493444475122006,0.18381966921462534,Approved,0
2,29,Female,Rural,Student,0,11,School,0,0,3,719,727,education,1169591,60,,,,,,,,1348588.0,National Institute,47.0,41819.0,,,,,10.0,24850.35227089704,0.5942359279489476,0.4262669951877436,Rejected,984113
3,29,Male,Urban,Salaried,19,2,Graduate,0,0,3,449,477,business,7749337,12,,,,,,,,,,,,4894318.0,9.0,Retail,5E5F93ZNAO4BMA9,13.0,692149.6694122623,1.697028275021596,0.9394764561837406,Rejected,2739850
4,39,Male,Rural,Self-employed,13,4,Graduate,1101540,91795,3,431,392,gold,532022,120,,,,,121.0,22.0,726000.0,,,,,,,,,11.0,7328.603650755075,0.07983663217773382,0.7198175027404367,Rejected,345895
5,41,Male,Rural,Self-employed,15,2,Graduate,2342184,195182,0,717,744,home,5074732,12,8490393.218638394,Town,1666373.4423239764,Land,,,,,,,,,,,,8.5,442617.0210832715,2.267714343962412,0.744369859649417,Rejected,1342691
6,44,Male,Semi-Urban,Salaried,12,11,Postgraduate,536916,44743,3,770,756,home,1610748,60,2203792.1013026764,City Center,647768.8518680643,Land,,,,,,,,,,,,8.5,33046.96180198516,0.7385951277738454,0.5432705419602101,Rejected,1090413
7,49,Female,Rural,Salaried,2,7,Graduate,0,0,3,710,711,business,4415356,120,,,,,,,,,,,,3784591.0,15.0,Manufacturing,HKXGUWATPX6PNEC,13.0,65926.00716228821,0.2090350280776598,0.17041080162563105,Approved,0
8,25,Male,Urban,Student,0,3,Postgraduate,0,0,3,676,712,education,849619,120,,,,,,,,850300.0,National Institute,34.0,114731.0,,,,,10.0,11227.777691874568,0.09786176091792599,0.06754821594380374,Approved,0
9,29,Male,Urban,Self-employed,13,1,Graduate,1465632,122136,1,586,609,home,7328160,12,9498639.663907014,City Center,2320044.0687260446,Land,,,,,,,,,,,,8.5,639160.5210327534,5.233186947605566,1.0,Rejected,840195
10,32,Male,Semi-Urban,Self-employed,3,3,School,0,0,3,816,821,business,8232305,180,,,,,,,,,,,,4939383.0,13.0,Manufacturing,6VGE9VW414M4F6C,13.0,104158.59419901452,0.2530484334557928,0.3446283522019742,Approved,0
